speaker,season,word_count
"Group: Dunder Mifflin!
Andy: Andy Bernard presents: Summer Softball Epic Fails! [Kevin swings bat on screen, fart noise follows] Fail. [repeats] Fail",9,1
Guy,2,14
Guy,3,14
Guy,5,19
Guy,7,78
Guy,9,42
Guy At Bar,2,7
Guy at bar,2,3
Guy at table,5,10
Guy buying doll,5,0
Guy in audience,5,0
Guys in breakroom,9,0
Gwenneth,6,2
Gym Instructor,6,13
Gym instructor,6,19
HCT,9,3
HCT Member #1,9,5
HCT Member #2,9,17
HCT Member #3,9,112
Hank,2,31
Hank,4,41
Hank,5,129
Hank,6,14
Hank,7,66
Hank,8,31
Hank,9,13
Hank [the security guard],5,9
Hank the Security Guard,2,23
Hannah,3,116
Harry,8,258
Harvey,3,42
Hayworth's waiter,6,19
Helen,7,45
Helene,6,428
Helene,7,54
Helene,9,41
Henry,9,33
Hide,6,93
Hide,8,6
Hide,9,54
Holly,4,578
Holly,5,2430
Holly,7,2057
Holly & Darryl,5,2
Holly & Michael,5,0
Holly's Dad,7,24
Holly's Mom,7,27
Holy,4,13
Holy,7,7
Hooter's Girls,2,40
Hospital employee,6,55
Host,8,404
Hostess,2,3
Hostess,6,8
Hot Dog Guy,7,17
Hotel Employee,6,124
Hotel Manager,6,42
Hunter,3,25
Hunter's CD,4,40
I.D. Photographer,2,1
IT Tech Guy,4,55
Improv Teacher,2,306
Intern,4,54
Investor,9,9
Ira,2,59
Irene,8,223
Isaac,5,33
Isaac,9,24
Isabel,6,176
Isabelle,6,55
JIM9334,5,22
JIM9334 [screen name],5,4
JIm,2,1
Jada,7,95
Jake,2,130
Jake,8,5
Jakey,9,15
Jamie,3,25
Jan,1,351
Jan,2,2576
Jan,3,2939
Jan,4,2106
Jan,5,718
Jan,7,275
Jan,9,278
Jan [on phone],4,3
Jeb,9,151
Jerome Bettis,3,17
Jerry,6,158
Jessica,5,28
Jessica,8,284
Jessica Alba,5,11
Jim,1,2818
Jim,2,8198
Jim,3,6026
Jim,4,6032
Jim,5,7664
Jim,6,8132
Jim,7,6079
Jim,8,8295
Jim,9,8033
Jim ,5,7
Jim & Dwight,9,5
Jim & Pam,6,2
Jim and Dwight,2,2
Jim and Pam,2,3
Jim and Pam,5,3
Jim and Pam,7,3
Jim's Dad,7,14
Jim's voicemail,2,5
"Jim, Josh, and Dwight",3,2
"Jim, Pam, Michael and Dwight",5,2
Jo,6,1985
Jo,7,922
Jo Bennett,6,20
Joan,9,50
Jordan,7,64
Josh,2,75
Josh,3,468
Julia,5,76
Julie,6,75
Julius,3,13
Julius,9,65
Julius Irving,9,18
Justin,4,62
Justine,7,22
Justine,8,10
Karen,3,2290
Karen,4,246
Karen,5,171
Karen,7,12
Kathy,6,17
Kathy,8,48
Katy,1,380
Katy,2,144
Keena Gifford,6,48
Kelly,1,21
Kelly,2,1340
Kelly,3,2053
Kelly,4,885
Kelly,5,1491
Kelly,6,1229
Kelly,7,1725
Kelly,8,1340
Kelly,9,151
Kelly and Erin,6,13
Kelly and Erin,7,5
Kelly's Father,3,19
Kelly's Mom,3,37
Kendall,5,142
Kenny,3,81
Kenny,8,20
Kenny,9,15
Kevin,1,199
Kevin,2,1015
Kevin,3,1601
Kevin,4,1187
Kevin,5,1429
Kevin,6,1677
Kevin,7,1866
Kevin,8,2223
Kevin,9,2190
Kevin & Andy,5,1
Kevin & Meredith,8,1
Kevin & Oscar,2,3
Kevin's computer,2,0
Kid,2,10
Kid,4,5
Kid,6,5
Kid,7,7
Kids,2,3
Kids,6,3
Kids,7,1
Lab Tech,2,30
Lady,3,8
Lady,7,9
Lady,8,52
Lady Blogger,8,4
Larry,3,9
Larry Myers,4,45
Lauren,8,92
Laurie,6,29
Lawyer,5,8
Lawyer,6,130
Lefevre,6,153
Leo,5,15
Lester,4,379
Lily,5,62
Limo Driver,6,7
Limo Driver,9,19
Linda,2,32
Linda,5,13
Liquor Store Clerk,2,12
Little Girl,6,14
Little Girl,7,10
Lonnie,9,13
Lonny,1,37
Lonny,2,37
Lonny,3,79
Luke,7,141
Lynn,5,50
M ichael,3,5
MIchael,3,69
Madge,1,13
Madge,2,9
Madge,3,6
Magician,8,167
Maguire,4,5
Malcolm,9,24
Male Applicant 1,8,20
Male Applicant 2,8,4
Male church member,7,17
Male voice,3,3
Man,1,5
Man,2,24
Man,3,57
Man,4,67
Man,5,17
Man,7,131
Man,8,5
Man,9,99
Man 1,9,12
Man 2,9,14
Man 3,9,14
Man from Buffalo,5,36
Man in Video,2,35
Man in line,6,1
Man on Phone,1,112
Man on phone,5,25
Manager,2,54
Manager,4,18
Manager,7,17
Marcy,3,22
Margaret,4,43
Marie,5,24
Mark,2,10
Mark,5,8
Mark,9,673
Mark McGrath,9,128
Martin,3,222
Mary-Beth,2,116
Master,2,59
Matt,6,45
Maurie,6,82
Mee-Maw,7,11
MeeMaw,7,8
Megan,6,15
Megan,8,50
Melissa,2,119
Melissa,3,17
Melvina,9,72
Mema,6,160
Member,7,7
Men,2,0
Meredith,1,146
Meredith,2,306
Meredith,3,381
Meredith,4,418
Meredith,5,931
Meredith,6,646
Meredith,7,565
Meredith,8,661
Meredith,9,974
Meredith & Kelly,8,3
Meredith's Vet,2,14
"Meredith, Creed, Oscar and Matt",6,0
Meridith,7,7
Merv,7,174
Merv Bronte,7,5
Mexican Man,7,0
Micael,4,1
Micahel,4,22
Micahel,7,26
Michae,4,14
Michael,1,11781
Michael,2,32926
Michael,3,27616
Michael,4,23492
Michael,5,27429
Michael,6,24302
Michael,7,18072
Michael,9,19
Michael ,3,16
Michael ,6,14
Michael ,7,1
Michael & Dwight,3,4
Michael & Dwight,6,3
Michael & Holly,5,40
Michael [on phone],5,7
Michael and Andy,7,6
Michael and Christian,2,9
Michael and Darryl,4,2
Michael and Donna,6,0
Michael and Dwight,1,0
Michael and Dwight,2,56
Michael and Dwight,3,14
Michael and Dwight,4,5
Michael and Dwight,6,5
Michael and Erin,6,34
Michael and Holly,5,12
Michael and Jim,2,45
Michael's Ad,4,74
"Michael, Holly, and Darryl",5,18
"Michael, Pam & Ryan",5,22
Michael/Dwight,4,46
Michal,5,14
Micheal,3,20
Micheal,5,35
Micheal,6,1
Micheal,7,1
Michel,1,1
Michel,5,23
Michel,6,6
Michel,7,8
Mihael,6,4
Miichael,6,2
Mikela,6,59
Minister,9,41
Miss Trudy,2,23
Moderator,9,45
Molly,9,57
Mose,4,56
Mose,7,3
Mose,8,46
Mose,9,23
Mose [on phone],7,1
Mother,5,11
Mr. Beesly,6,21
Mr. Brown,1,582
Mr. Figaro,4,17
Mr. Halpert,6,13
Mr. Kapoor,3,0
Mr. O'Malley,2,4
Mr. Ramish,8,75
Mr. Romanko,9,16
Mr. Ruger,9,40
Mr. Schofield,5,40
Mrs. California,8,3
Mrs. Davis,9,27
Mrs. Kapoor,3,3
Mrs. Wallace,6,40
Nail manager,9,18
Nail stylist 1,9,11
Nail stylist 2,9,13
Nana,5,57
Narrator,8,50
Nate,7,134
Nate,8,398
Nate,9,100
Neighbor,4,5
Nellie,7,199
