speaker,word_count
Vance Refrigeration guy,8
Various,21
Vet,108
Video,0
Video Michael,54
Vikram,156
Voice #1 on phone,10
Voice #2 on phone,4
Voice of Thomas Dean,24
Voice on CD player,71
Voicemail,9
W.B. Jones,18
Wade,1
Waiter,137
Waitress,57
Wally Amos,43
Walt Jr.,66
Walter,193
Walter & Walter Jr,44
Walter Jr,40
Warehouse Crew,4
Warehouse Guy,5
Warehouse Michael,15
Warehouse Worker,3
Warehouse guy,7
Warehouse guy 1,13
Warehouse guy 2,3
Warehouse guys,0
Warehouse worker,7
Warren,34
Warren Buffett,7
Wendy's phone operator,23
White,8
Window treatment guy,27
Wolf,92
Woman,123
Woman 1,33
Woman 2,31
Woman 3,13
Woman 4,36
Woman at bar,4
Woman from Buffalo,5
Woman in line,20
Woman on mic,15
Woman over speakerphone,20
Women,9
Worker,29
Wrangler,12
Young Man,6
Young Michael,28
Younger Guy,47
Zeke,109
Zion,6
"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",1
"[repeats]
Andy: Fail",1
abe,20
sAndy,12
song,8
